M B NP: org.apache.commons.lang3.time.FormatCache$MultipartKey.equals(Object) は，null の引数をチェックしていません。  該当箇所 FormatCache.java:[line 246]
M B BC: org.apache.commons.lang3.time.FormatCache$MultipartKey のための equals メソッドは，引数の型が FormatCache$MultipartKey だと仮定しています。  該当箇所 FormatCache.java:[line 246]
M D SF: default がない switch 文を見つけました。org.apache.commons.lang3.time.FastDateParser.escapeRegex(StringBuilder, String, boolean)  該当箇所 FastDateParser.java:[lines 303-327]
M D SF: default がない switch 文を見つけました。org.apache.commons.lang3.time.FastDateParser.getStrategy(String, Calendar)  該当箇所 FastDateParser.java:[lines 427-468]
H I Dm: デフォルトエンコーディングへの依存を発見しました。org.apache.commons.lang3.StringUtils.toString(byte[], String): new String(byte[])  該当箇所 StringUtils.java:[line 7353]
M P WMI: org.apache.commons.lang3.ClassUtils.<static initializer for ClassUtils>() は，entrySet イテレータではなく効率が悪い keySet イテレータを使用しています。  該当箇所 ClassUtils.java:[line 87]
H B CN: org.apache.commons.lang3.text.StrTokenizer.clone() は，super.clone() を呼び出していません。  該当箇所 StrTokenizer.java:[lines 1077-1079]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)  該当箇所 DurationFormatUtils.java:[line 446]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)  該当箇所 DurationFormatUtils.java:[line 450]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)  該当箇所 DurationFormatUtils.java:[line 434]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)  該当箇所 DurationFormatUtils.java:[line 426]
M B ES: String オブジェクトを == や != を使用して比較しています。org.apache.commons.lang3.time.DurationFormatUtils.format(DurationFormatUtils$Token[], int, int, int, int, int, int, int, boolean)  該当箇所 DurationFormatUtils.java:[line 438]
