ID,filePath,line,operation,isSuccess
7,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,62,CondIntroductionOperation,-1203834103,false
14,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,62,CondIntroductionOperation,-76911664,false
29,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,-1317155335,false
31,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,-1206304459,false
32,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,967486527,false
33,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,-479363323,false
34,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,1694427663,false
35,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,1379165756,false
36,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,-742010554,false
37,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,67,CtrlFlowIntroductionOperation,-190262687,false
40,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,981868446,false
41,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,-1654067160,false
42,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,-507369106,false
43,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,1151662584,false
44,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,-1167319323,false
45,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,491712367,false
46,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,-1854532150,false
49,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,-38469241,false
50,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,-148094403,false
51,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,1039806903,false
52,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,930181741,false
53,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,2056186656,false
54,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CondRefinementOperation,1946561494,false
73,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/optimization/linear/AbstractLinearOptimizer.java,86,CtrlFlowIntroductionOperation,1767942503,false
204,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java,887,CtrlFlowIntroductionOperation,470092391,false
235,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/linear/Array2DRowRealMatrix.java,326,CondRefinementOperation,478972315,false
249,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/linear/Array2DRowRealMatrix.java,331,CondRefinementOperation,899222602,false
250,src/test/resources/math_83_buggy/src/main/java/org/apache/commons/math/linear/Array2DRowRealMatrix.java,331,CondRefinementOperation,686212955,false
